sample,Sex,UK_citizen,Residence,Extrovert_introvert,Absorbed,Bored
7,M,Y,EU,Extrovert,Y,Y
7,M,Y,EU,Introvert,Y,Y
7,M,N,EU,Extrovert,Y,Y
8,F,Y,EU,Introvert,Y,N
8,F,Y,EU,Extrovert,Y,Y
8,F,Y,EU,Introvert,Y,Y
8,F,Y,EU,Introvert,Y,N
8,M,Y,EU,Extrovert,Y,Y
8,F,Y,EU,Extrovert,Y,Y
8,F,Y,EU,Introvert,Y,Y
8,M,Y,EU,Extrovert,N,Y
8,M,Y,EU,Extrovert,Y,N
8,F,N,EU,Extrovert,Y,Y
8,M,Y,EU,Introvert,Y,Y
8,F,Y,EU,Introvert,Y,Y
8,F,Y,EU,Extrovert,Y,Y
8,M,Y,EU,Introvert,Y,Y
8,M,Y,EU,Introvert,Y,Y
8,F,Y,EU,Extrovert,N,Y
8,F,Y,EU,Extrovert,Y,N
8,M,Y,EU,Introvert,Y,N
8,F,Y,EU,Extrovert,Y,Y
8,M,Y,EU,Introvert,Y,Y
8,F,Y,EU,Introvert,Y,N
8,F,Y,EU,Introvert,Y,N
8,M,Y,EU,Extrovert,Y,Y
8,F,Y,EU,Extrovert,Y,Y
8,F,Y,EU,Extrovert,Y,Y
9,F,Y,EU,Introvert,N,Y
9,F,Y,EU,Introvert,Y,N
9,M,Y,EU,Extrovert,Y,Y
9,M,Y,EU,Introvert,Y,Y
9,F,Y,EU,Introvert,Y,N
9,M,Y,EU,Introvert,Y,Y
9,M,Y,EU,Introvert,Y,Y
9,F,Y,EU,Introvert,Y,Y
9,F,Y,EU,Introvert,Y,Y
9,M,Y,EU,Introvert,N,Y
9,F,Y,EU,Extrovert,Y,N
9,F,Y,EU,Introvert,Y,N
9,F,Y,EU,Extrovert,Y,Y
9,M,Y,EU,Introvert,Y,Y
9,F,Y,EU,Introvert,Y,Y
9,F,Y,EU,Extrovert,N,Y
9,F,Y,EU,Introvert,Y,N
9,M,Y,EU,Introvert,Y,N
9,M,Y,EU,Introvert,Y,N
9,F,Y,EU,Introvert,Y,N
9,F,Y,EU,Introvert,N,N
9,F,Y,EU,Extrovert,N,Y
9,M,Y,EU,Extrovert,Y,N
9,F,Y,EU,Extrovert,Y,Y
9,F,Y,EU,Extrovert,Y,Y
9,F,Y,EU,Introvert,Y,N
9,F,Y,EU,Extrovert,Y,Y
9,F,N,EU,Extrovert,Y,N
9,F,Y,EU,Introvert,Y,N
9,F,Y,EU,Introvert,Y,Y
9,F,Y,EU,Extrovert,Y,Y
9,F,Y,EU,Extrovert,N,Y
9,F,Y,EU,Extrovert,N,Y
10,M,N,EU,,N,N
10,M,N,EU,Extrovert,Y,N
10,M,Y,EU,Introvert,N,Y
10,F,Y,EU,Extrovert,Y,Y
10,F,N,EU,Extrovert,Y,N
10,M,N,EU,Introvert,N,Y
10,F,Y,EU,Extrovert,Y,Y
10,F,Y,EU,Extrovert,Y,Y
10,F,Y,EU,Introvert,Y,N
11,M,Y,EU,Introvert,N,Y
11,F,Y,EU,Introvert,Y,Y
11,M,N,EU,Introvert,N,Y
11,M,Y,EU,Introvert,Y,Y
11,M,Y,EU,Introvert,Y,N
11,F,Y,EU,Introvert,Y,Y
11,F,Y,EU,Introvert,Y,N
11,F,Y,EU,Extrovert,Y,Y
11,F,N,EU,Extrovert,Y,N
11,F,Y,EU,Extrovert,Y,Y
11,M,N,EU,Introvert,N,N
11,M,N,EU,Introvert,Y,Y
11,F,Y,EU,Extrovert,Y,Y
11,F,Y,EU,Introvert,Y,Y
11,F,Y,EU,Introvert,N,Y
11,F,Y,EU,Extrovert,Y,Y
11,F,N,EU,Introvert,Y,Y
11,M,Y,EU,Extrovert,Y,N
11,M,Y,EU,Extrovert,Y,Y
11,F,Y,EU,Extrovert,Y,Y
11,F,N,EU,Extrovert,Y,Y
11,M,Y,EU,Extrovert,Y,Y
11,M,Y,EU,Introvert,Y,N
11,M,Y,EU,Extrovert,Y,Y
11,M,N,EU,Extrovert,Y,Y
11,M,Y,EU,Extrovert,Y,N
12,M,N,EU,Extrovert,Y,N
12,F,N,EU,Introvert,Y,Y
12,F,Y,EU,Introvert,Y,N
12,M,Y,EU,Extrovert,Y,N
12,M,Y,EU,Extrovert,N,N
12,F,Y,EU,Extrovert,Y,Y
