Total_happiness,Height,Weight,Age,Difficulty_score_1,Difficulty_score_2,BMI,sample
17,1.85,65,19,125,100,18.991,11
17,1.71,68,18,100,150,23.255,11
17,1.73,,39,100,100,,11
18,1.75,50,18,100,125,16.326,11
18,1.7,98,19,80,60,33.91,11
18,,,19,100,100,,11
18,1.8,80,24,100,100,24.691,11
18,1.74,62.5,18,150,130,20.643,11
18,1.8,60,19,100,75,18.518,11
18,1.78,65,19,100,100,20.515,11
18,1.8,90,19,100,100,27.777,11
18,1.62,58,20,80,90,22.1,11
19,1.53,50,22,150,100,21.359,11
19,1.72,,20,120,120,,11
19,1.83,75,24,100,100,22.395,11
19,1.7,60,26,110,100,20.761,11
19,1.6,53,19,100,80,20.703,11
19,1.82,78.5,20,120,150,23.698,11
19,1.75,90,20,90,90,29.387,11
20,1.75,70,22,100,100,22.857,11
20,1.7,79,18,100,100,27.335,11
20,1.72,80,19,100,100,27.041,11
20,1.63,50,18,100,110,18.818,11
20,1.1,,19,100,100,,11
20,1.7,62.9,19,137,137,21.764,11
20,1.73,,19,110,100,,11
20,1.8,75,20,100,100,23.148,11
21,1.8,70,18,100,125,21.604,11
21,1.81,75.9,22,75,90,23.167,11
21,1.55,68,18,100,80,28.303,11
21,1.9,75,20,100,70,20.775,11
21,1.6,52,19,105,105,20.312,11
21,1.83,,21,100,80,,11
22,1.8,63,20,100,100,19.444,11
22,1.67,50,20,100,100,17.928,11
23,1.77,90,19,50,50,28.727,11
23,1.71,80,22,150,150,27.358,11
23,1.9,70,19,110,120,19.39,11
23,1.8,75,24,140,100,23.148,11
23,1.8,59,19,110,90,18.209,11
23,1.7,90,20,100,100,31.141,11
23,1.58,,19,110,80,,11
23,1.77,81,20,110,100,25.854,11
23,1.6,,33,150,100,,11
7,1.75,56.4,20,120,120,18.416,12
8,1.78,65,23,80,80,20.515,12
9,1.58,45,19,100,110,18.025,12
10,1.66,55,20,120,120,19.959,12
10,1.87,90,26,100,100,25.737,12
10,1.6,48,21,150,150,18.75,12
10,1.65,55,21,140,140,20.202,12
11,1.6,55,20,60,60,21.484,12
11,1.65,,18,125,125,,12
12,1.64,54.5,20,140,150,20.263,12
12,1.58,,19,120,80,,12
12,1.9,100,18,110,110,27.7,12
13,1.86,49.2,18,110,105,14.221,12
13,1.56,44,21,100,100,18.08,12
13,1.7,50,18,125,50,17.301,12
13,1.8,75,20,100,100,23.148,12
13,1.8,45,20,100,100,13.888,12
14,1.8,60,18,110,50,18.518,12
