Date,Symbols,Close,High,Low,Open,Volume
2020-09-01,BNTX,57.81,60.53,56.66,58.71,3575538.0
2020-09-01,MRNA,63.32,64.5,62.5,63.54,8200671.0
2020-09-02,AMZN,176.572,177.612,174.334,177.35,78629520.0
2020-09-02,GOOGL,1717.39,1726.1022,1660.19,1668.01,2476072.0
2020-09-02,PFE,34.8835,34.9768,34.1317,34.4808,29411314.497457
2020-09-02,BNTX,61.99,63.29,54.96,56.01,3892797.0
2020-09-02,MRNA,64.72,64.89,61.3805,62.84,9874614.0
2020-09-03,AMZN,168.4,174.42,165.15,174.25,163222260.0
2020-09-03,GOOGL,1629.51,1700.0,1607.71,1699.52,3186287.0
2020-09-03,PFE,34.1317,35.1563,33.8519,35.0432,36380535.376931
2020-09-03,BNTX,59.28,63.67,57.1,63.45,2585983.0
2020-09-03,MRNA,64.84,69.35,64.3,65.65,14307317.0
2020-09-04,AMZN,164.731,169.075,155.556,165.9,175635080.0
2020-09-04,GOOGL,1581.21,1634.99,1537.9701,1609.0,2792533.0
2020-09-04,PFE,34.0969,34.3489,33.6357,34.217,27188937.739124
2020-09-04,BNTX,58.57,59.96,54.1,59.28,1985494.0
2020-09-04,MRNA,62.6,65.0,59.01,64.99,11653287.0
2020-09-08,AMZN,157.492,162.542,156.5,157.2,121884100.0
2020-09-08,GOOGL,1523.6,1555.55,1516.5,1525.0,2701586.0
2020-09-08,PFE,33.6922,34.329,33.4582,34.2547,27051868.992951
2020-09-08,BNTX,59.83,61.0,58.69,60.16,2887809.0
2020-09-08,MRNA,54.34,58.6,54.21,57.75,17706208.0
2020-09-09,AMZN,163.43,165.159,159.25,160.15,103773500.0
2020-09-09,GOOGL,1547.23,1558.72,1525.17,1548.9,1962078.0
2020-09-09,PFE,33.9263,34.3687,33.8886,34.0295,27814534.175392
2020-09-09,BNTX,62.32,63.38,60.6,63.0,3406940.0
2020-09-09,MRNA,56.9,57.19,54.51,56.03,9355441.0
2020-09-10,AMZN,158.756,167.494,158.528,165.361,106614820.0
2020-09-10,GOOGL,1526.05,1573.66,1520.0,1550.18,1651194.0
2020-09-10,PFE,33.4294,34.0573,33.3659,33.9452,21905860.035942
2020-09-10,BNTX,61.2,62.28,60.5,62.0,1751775.0
2020-09-10,MRNA,57.56,60.32,56.87,57.0408,7985321.0
2020-09-11,AMZN,155.811,160.867,154.199,160.434,101879640.0
2020-09-11,GOOGL,1515.76,1538.695,1493.02,1528.15,1535337.0
2020-09-11,PFE,33.8232,33.8599,33.2409,33.5137,24393408.764704
2020-09-11,BNTX,65.13,65.28,61.05,61.4521,2515244.0
2020-09-11,MRNA,59.34,59.51,57.45,58.49,4821869.0
2020-09-14,AMZN,155.148,159.37,154.8,158.647,90591920.0
