Total happiness,Sex,UK_student,Ext_int,Absorbed,Bored
16,M,N,Introvert,,Y
11,M,N,Introvert,,Y
17,F,N,Introvert,,Y
26,M,Y,Extrovert,Y,N
14,M,Y,Extrovert,Y,N
16,M,Y,Extrovert,Y,N
21,M,Y,Extrovert,Y,N
17,M,Y,Extrovert,Y,N
20,M,Y,Extrovert,Y,N
23,M,Y,Extrovert,Y,N
23,M,Y,Extrovert,Y,N
20,M,Y,Extrovert,Y,N
21,M,Y,Extrovert,Y,N
17,M,Y,Extrovert,Y,N
20,M,Y,Extrovert,Y,N
21,M,Y,Extrovert,Y,N
18,M,Y,Extrovert,Y,N
25,M,Y,Extrovert,Y,N
19,M,Y,Extrovert,Y,N
17,M,Y,Extrovert,Y,N
16,M,Y,Extrovert,Y,N
19,M,Y,Extrovert,Y,N
18,M,Y,Extrovert,Y,N
26,M,Y,Extrovert,Y,N
20,M,Y,Extrovert,Y,N
13,M,Y,Extrovert,Y,N
16,M,Y,Extrovert,Y,N
16,M,Y,Extrovert,Y,N
13,M,Y,Extrovert,Y,N
14,M,Y,Extrovert,Y,N
18,M,Y,Extrovert,Y,N
15,M,Y,Extrovert,Y,N
17,M,Y,Extrovert,Y,N
23,M,Y,Extrovert,Y,N
15,M,Y,Extrovert,Y,N
4,M,Y,Extrovert,Y,N
23,M,Y,Extrovert,Y,N
19,M,Y,Extrovert,Y,N
13,M,Y,Extrovert,Y,N
20,M,Y,Extrovert,Y,N
13,M,Y,Extrovert,Y,N
24,M,Y,Extrovert,Y,N
17,M,Y,Extrovert,Y,N
17,M,Y,Extrovert,Y,N
17,M,Y,Extrovert,Y,N
25,M,Y,Extrovert,Y,N
18,M,Y,Extrovert,Y,N
16,M,Y,Extrovert,Y,N
23,M,Y,Extrovert,Y,N
18,M,Y,Extrovert,Y,N
17,M,Y,Extrovert,Y,N
21,M,Y,Extrovert,Y,N
20,M,Y,Extrovert,Y,N
23,M,Y,Extrovert,Y,N
26,M,Y,Extrovert,Y,N
17,M,Y,Extrovert,Y,N
22,M,Y,Extrovert,Y,N
21,M,Y,Extrovert,Y,N
12,M,Y,Extrovert,Y,N
13,M,Y,Extrovert,Y,N
19,M,Y,Extrovert,Y,N
24,M,Y,Extrovert,Y,N
27,M,Y,Extrovert,Y,N
24,M,Y,Extrovert,Y,N
17,M,Y,Extrovert,Y,N
