Total_happiness,Sex,UK_student,Extrovert_introvert,Absorbed,Bored,sample
21,F,N,Introvert,Y,Y,10
22,F,Y,Extrovert,Y,Y,10
27,F,Y,Introvert,Y,N,10
28,M,N,,Y,Y,10
4,M,Y,Extrovert,Y,N,11
8,F,Y,Extrovert,N,Y,11
8,M,Y,Introvert,N,Y,11
10,F,Y,Introvert,Y,Y,11
11,F,Y,Extrovert,Y,Y,11
11,M,N,Introvert,N,Y,11
12,M,Y,Extrovert,Y,Y,11
12,F,Y,Extrovert,Y,Y,11
12,M,N,Extrovert,Y,Y,11
12,M,Y,Introvert,Y,Y,11
12,M,N,Introvert,Y,Y,11
12,M,Y,Introvert,N,Y,11
12,M,Y,Introvert,N,Y,11
12,F,Y,Introvert,N,N,11
13,F,Y,Extrovert,Y,Y,11
13,F,N,Extrovert,,Y,11
13,M,N,Extrovert,Y,N,11
13,M,Y,Introvert,Y,N,11
13,M,N,Introvert,Y,N,11
14,F,Y,Introvert,Y,Y,11
14,M,Y,Extrovert,N,Y,11
14,M,N,Extrovert,N,Y,11
14,F,Y,Introvert,Y,N,11
15,F,Y,Extrovert,Y,Y,11
15,M,N,Extrovert,Y,Y,11
15,F,Y,Introvert,Y,Y,11
15,F,N,Extrovert,N,Y,11
15,F,N,Extrovert,N,Y,11
15,M,Y,Introvert,N,Y,11
15,M,Y,Extrovert,Y,N,11
15,F,N,Extrovert,Y,N,11
16,F,Y,Extrovert,Y,Y,11
16,F,Y,Extrovert,Y,Y,11
16,M,N,Introvert,N,N,11
16,M,Y,,N,N,11
17,M,N,Introvert,Y,Y,11
17,M,Y,Extrovert,N,Y,11
17,F,Y,Extrovert,Y,N,11
17,M,N,Introvert,Y,N,11
17,F,N,Introvert,Y,N,11
18,F,Y,Extrovert,Y,Y,11
18,M,N,Extrovert,Y,Y,11
18,F,N,Extrovert,Y,Y,11
18,M,Y,Introvert,Y,Y,11
18,F,Y,Introvert,Y,Y,11
18,M,Y,Extrovert,N,Y,11
18,F,Y,Introvert,N,Y,11
18,M,N,Extrovert,Y,N,11
18,F,N,Introvert,Y,N,11
19,F,Y,Extrovert,Y,Y,11
19,F,Y,Extrovert,Y,Y,11
19,M,Y,Introvert,Y,Y,11
19,M,N,Introvert,Y,Y,11
19,F,N,Introvert,Y,Y,11
19,M,N,Extrovert,N,Y,11
19,M,Y,Extrovert,Y,N,11
20,M,Y,Extrovert,Y,Y,11
20,M,Y,Extrovert,Y,Y,11
20,F,Y,Extrovert,Y,Y,11
20,F,N,Extrovert,Y,Y,11
20,F,N,Extrovert,Y,Y,11
20,M,N,Introvert,Y,Y,11
20,F,Y,Introvert,N,Y,11
20,F,Y,Extrovert,Y,N,11
21,M,Y,Extrovert,Y,Y,11
21,M,N,Introvert,N,Y,11
21,M,Y,Introvert,Y,N,11
21,M,Y,Introvert,Y,N,11
21,F,Y,Introvert,Y,N,11
21,F,Y,Introvert,Y,N,11
22,M,N,Extrovert,Y,Y,11
22,F,N,Introvert,Y,Y,11
23,M,Y,Extrovert,Y,Y,11
23,M,N,Extrovert,Y,Y,11
23,M,Y,Introvert,Y,Y,11
23,F,Y,Extrovert,N,Y,11
23,M,Y,Extrovert,Y,N,11
23,M,Y,Extrovert,Y,N,11
23,F,Y,Extrovert,Y,N,11
23,M,N,Extrovert,Y,N,11
23,F,Y,Introvert,Y,N,11
7,M,N,Extrovert,Y,Y,12
8,M,N,Extrovert,Y,N,12
9,F,N,Extrovert,N,Y,12
10,F,N,Introvert,Y,Y,12
10,M,N,Extrovert,N,Y,12
10,F,N,Extrovert,Y,N,12
10,F,N,Introvert,Y,N,12
11,F,Y,Introvert,N,Y,12
11,F,Y,Extrovert,Y,N,12
12,F,Y,Introvert,Y,N,12
12,F,Y,Introvert,Y,N,12
12,M,N,Introvert,N,N,12
13,M,Y,Extrovert,N,Y,12
13,F,N,Introvert,N,Y,12
13,M,Y,Extrovert,Y,N,12
13,M,Y,Extrovert,Y,N,12
13,M,Y,Extrovert,N,N,12
14,M,Y,Extrovert,Y,Y,12
14,F,Y,Extrovert,Y,Y,12
14,M,N,Introvert,Y,Y,12
14,F,N,Introvert,Y,Y,12
14,M,Y,Introvert,N,N,12
15,F,Y,Extrovert,Y,Y,12
15,M,Y,Extrovert,N,Y,12
15,F,Y,Extrovert,Y,N,12
15,F,N,Introvert,Y,N,12
15,F,Y,Introvert,N,N,12
16,M,Y,Extrovert,Y,Y,12
16,M,Y,Introvert,Y,Y,12
16,F,Y,Introvert,Y,Y,12
16,F,Y,Introvert,Y,Y,12
16,F,Y,Extrovert,N,Y,12
16,F,Y,Extrovert,Y,N,12
16,F,Y,Introvert,Y,N,12
16,M,N,Introvert,Y,N,12
16,F,N,Introvert,Y,N,12
16,M,N,Extrovert,N,N,12
17,M,Y,Introvert,Y,Y,12
17,F,Y,Introvert,Y,Y,12
17,F,N,Introvert,Y,Y,12
17,F,Y,Extrovert,Y,N,12
17,F,N,Extrovert,Y,N,12
18,F,Y,Extrovert,Y,Y,12
18,M,Y,Introvert,Y,Y,12
18,M,Y,Introvert,Y,Y,12
18,F,N,Introvert,Y,Y,12
18,F,N,Introvert,Y,Y,12
18,M,N,Extrovert,Y,N,12
18,M,N,Extrovert,N,N,12
18,M,N,Introvert,N,N,12
19,M,Y,Extrovert,Y,Y,12
19,M,Y,Extrovert,Y,Y,12
19,M,Y,Extrovert,N,Y,12
19,M,Y,Extrovert,N,Y,12
19,F,N,Extrovert,N,Y,12
19,M,N,Extrovert,Y,N,12
19,M,Y,Introvert,Y,N,12
20,F,N,Extrovert,Y,Y,12
20,F,N,Introvert,Y,Y,12
20,M,Y,Introvert,N,Y,12
20,M,Y,Extrovert,Y,N,12
20,F,N,Extrovert,Y,N,12
20,F,N,Extrovert,Y,N,12
21,F,Y,Extrovert,Y,Y,12
21,F,N,Extrovert,Y,Y,12
