Total_happiness,Height,Weight,Age,BMI,sample
8,1.64,60.2,20,22.382,14
10,1.62,65,60,24.767,14
11,1.91,92,23,25.218,14
11,1.75,75,19,24.489,14
12,1.86,70.1,20,20.262,14
12,1.85,60,20,17.531,14
13,1.6,77,22,30.078,14
14,1.75,75,18,24.489,14
14,1.7,88,38,30.449,14
14,1.98,75,18,19.13,14
14,1.52,43.6,21,18.871,14
14,1.86,73.2,18,21.158,14
14,1.7,68,28,23.529,14
15,1.9,110,18,30.47,14
15,,70,18,,14
15,1.6,53.5,17,20.898,14
16,1.65,70,19,25.711,14
16,1.85,53,19,15.485,14
16,1.65,65,18,23.875,14
17,1.8,69,18,21.296,14
17,1.8,76,22,23.456,14
18,1.5,56.7,18,25.2,14
18,1.78,70.1,19,22.124,14
18,1.76,78.5,18,25.342,14
18,1.7,50,18,17.301,14
18,1.8,78,20,24.074,14
18,1.82,90,18,27.17,14
18,1.67,50,18,17.928,14
19,1.68,55,19,19.486,14
